campaign_id,lead_id,email_template,scheduled_time,sent_time,delivery_status,opened,replied,reply_time,follow_up_required
CAM00001,L00001,IT Consulting,05-01-2026 09:00,05-01-2026 09:13,Delivered,0,0,,0
CAM00002,L00002,Data Engineering,05-01-2026 14:00,05-01-2026 14:00,Delivered,0,0,,0
CAM00003,L00003,Oracle Services,05-01-2026 19:00,05-01-2026 19:12,Delivered,1,0,,0
CAM00004,L00004,IT Consulting,06-01-2026 00:00,06-01-2026 00:11,Delivered,1,0,,0
CAM00005,L00005,IT Consulting,06-01-2026 05:00,06-01-2026 05:11,Delivered,1,0,,0
CAM00006,L00006,Database Modernization,06-01-2026 10:00,06-01-2026 10:02,Delivered,1,1,06-01-2026 19:02,1
CAM00007,L00007,Database Modernization,06-01-2026 15:00,06-01-2026 15:13,Delivered,1,0,,0
CAM00008,L00008,Oracle Services,06-01-2026 20:00,06-01-2026 20:08,Delivered,0,0,,0
CAM00009,L00009,IT Consulting,07-01-2026 01:00,07-01-2026 01:06,Delivered,1,0,,0
CAM00010,L00010,IT Consulting,07-01-2026 06:00,07-01-2026 06:10,Delivered,1,0,,0
CAM00011,L00011,Oracle Services,07-01-2026 11:00,07-01-2026 11:05,Delivered,0,0,,0
CAM00012,L00012,Data Engineering,07-01-2026 16:00,07-01-2026 16:04,Delivered,0,0,,0
CAM00013,L00013,Database Modernization,07-01-2026 21:00,07-01-2026 21:04,Delivered,1,0,,0
CAM00014,L00014,Data Engineering,08-01-2026 02:00,08-01-2026 02:08,Delivered,1,0,,0
CAM00015,L00015,Oracle Services,08-01-2026 07:00,08-01-2026 07:09,Bounced,0,0,,0
CAM00016,L00016,IT Consulting,08-01-2026 12:00,08-01-2026 12:03,Delivered,1,0,,0
CAM00017,L00017,Database Modernization,08-01-2026 17:00,08-01-2026 17:03,Delivered,0,0,,0
CAM00018,L00018,IT Consulting,08-01-2026 22:00,08-01-2026 22:14,Delivered,0,0,,0
CAM00019,L00019,Oracle Services,09-01-2026 03:00,09-01-2026 03:07,Delivered,1,0,,0
CAM00020,L00020,Data Engineering,09-01-2026 08:00,09-01-2026 08:12,Delivered,0,0,,0
CAM00021,L00021,Database Modernization,09-01-2026 13:00,09-01-2026 13:04,Delivered,1,0,,0
CAM00022,L00022,IT Consulting,09-01-2026 18:00,09-01-2026 18:04,Failed,0,0,,0
CAM00023,L00023,Data Engineering,09-01-2026 23:00,09-01-2026 23:04,Delivered,1,0,,0
CAM00024,L00024,Data Engineering,10-01-2026 04:00,10-01-2026 04:07,Delivered,0,0,,0
CAM00025,L00025,Oracle Services,10-01-2026 09:00,10-01-2026 09:11,Delivered,1,0,,0
CAM00026,L00026,Data Engineering,10-01-2026 14:00,10-01-2026 14:07,Delivered,1,0,,0
CAM00027,L00027,Oracle Services,10-01-2026 19:00,10-01-2026 19:04,Delivered,0,0,,0
CAM00028,L00028,Database Modernization,11-01-2026 00:00,11-01-2026 00:14,Delivered,1,0,,0
CAM00029,L00029,Oracle Services,11-01-2026 05:00,11-01-2026 05:08,Delivered,0,0,,0
CAM00030,L00030,Oracle Services,11-01-2026 10:00,11-01-2026 10:05,Delivered,0,0,,0
CAM00031,L00031,Data Engineering,11-01-2026 15:00,11-01-2026 15:00,Delivered,0,0,,0
CAM00032,L00032,Oracle Services,11-01-2026 20:00,11-01-2026 20:08,Delivered,0,0,,0
CAM00033,L00033,Data Engineering,12-01-2026 01:00,12-01-2026 01:09,Delivered,0,0,,0
CAM00034,L00034,IT Consulting,12-01-2026 06:00,12-01-2026 06:13,Delivered,1,0,,0
CAM00035,L00035,Oracle Services,12-01-2026 11:00,12-01-2026 11:03,Delivered,0,0,,0
CAM00036,L00036,Data Engineering,12-01-2026 16:00,12-01-2026 16:02,Delivered,0,0,,0
CAM00037,L00037,Database Modernization,12-01-2026 21:00,12-01-2026 21:14,Delivered,0,0,,0
CAM00038,L00038,Database Modernization,13-01-2026 02:00,13-01-2026 02:08,Delivered,0,0,,0
CAM00039,L00039,Data Engineering,13-01-2026 07:00,13-01-2026 07:00,Delivered,0,0,,0
CAM00040,L00040,Data Engineering,13-01-2026 12:00,13-01-2026 12:01,Delivered,0,0,,0
CAM00041,L00041,Data Engineering,13-01-2026 17:00,13-01-2026 17:07,Delivered,1,0,,0
CAM00042,L00042,Oracle Services,13-01-2026 22:00,13-01-2026 22:09,Delivered,0,0,,0
CAM00043,L00043,Data Engineering,14-01-2026 03:00,14-01-2026 03:03,Delivered,0,0,,0
CAM00044,L00044,Database Modernization,14-01-2026 08:00,14-01-2026 08:05,Delivered,0,0,,0
CAM00045,L00045,Database Modernization,14-01-2026 13:00,14-01-2026 13:11,Delivered,1,0,,0
CAM00046,L00046,IT Consulting,14-01-2026 18:00,14-01-2026 18:14,Delivered,1,0,,0
CAM00047,L00047,Oracle Services,14-01-2026 23:00,14-01-2026 23:07,Delivered,0,0,,0
CAM00048,L00048,Database Modernization,15-01-2026 04:00,15-01-2026 04:06,Delivered,1,0,,0
CAM00049,L00049,Database Modernization,15-01-2026 09:00,15-01-2026 09:05,Failed,0,0,,0
CAM00050,L00050,Oracle Services,15-01-2026 14:00,15-01-2026 14:02,Delivered,0,0,,0
CAM00051,L00051,IT Consulting,15-01-2026 19:00,15-01-2026 19:00,Delivered,1,0,,0
CAM00052,L00052,Database Modernization,16-01-2026 00:00,16-01-2026 00:12,Delivered,1,0,,0
CAM00053,L00053,Data Engineering,16-01-2026 05:00,16-01-2026 05:00,Delivered,0,0,,0
CAM00054,L00054,Database Modernization,16-01-2026 10:00,16-01-2026 10:12,Delivered,1,0,,0
CAM00055,L00055,IT Consulting,16-01-2026 15:00,16-01-2026 15:03,Delivered,0,0,,0
CAM00056,L00056,Data Engineering,16-01-2026 20:00,16-01-2026 20:10,Delivered,1,0,,0
CAM00057,L00057,Database Modernization,17-01-2026 01:00,17-01-2026 01:14,Delivered,1,0,,0
CAM00058,L00058,IT Consulting,17-01-2026 06:00,17-01-2026 06:11,Failed,0,0,,0
CAM00059,L00059,IT Consulting,17-01-2026 11:00,17-01-2026 11:10,Delivered,0,0,,0
CAM00060,L00060,Data Engineering,17-01-2026 16:00,17-01-2026 16:03,Delivered,0,0,,0
CAM00061,L00061,Oracle Services,17-01-2026 21:00,17-01-2026 21:08,Delivered,0,0,,0
CAM00062,L00062,Data Engineering,18-01-2026 02:00,18-01-2026 02:09,Delivered,0,0,,0
CAM00063,L00063,Data Engineering,18-01-2026 07:00,18-01-2026 07:06,Delivered,0,0,,0
CAM00064,L00064,Database Modernization,18-01-2026 12:00,18-01-2026 12:00,Delivered,1,0,,0
CAM00065,L00065,Oracle Services,18-01-2026 17:00,18-01-2026 17:13,Delivered,0,0,,0
CAM00066,L00066,Data Engineering,18-01-2026 22:00,18-01-2026 22:02,Delivered,0,0,,0
CAM00067,L00067,IT Consulting,19-01-2026 03:00,19-01-2026 03:14,Delivered,1,0,,0
CAM00068,L00068,Database Modernization,19-01-2026 08:00,19-01-2026 08:13,Delivered,0,0,,0
CAM00069,L00069,Database Modernization,19-01-2026 13:00,19-01-2026 13:00,Delivered,1,0,,0
CAM00070,L00070,Oracle Services,19-01-2026 18:00,19-01-2026 18:11,Delivered,1,0,,0
CAM00071,L00071,Data Engineering,19-01-2026 23:00,19-01-2026 23:09,Delivered,0,0,,0
CAM00072,L00072,IT Consulting,20-01-2026 04:00,20-01-2026 04:03,Delivered,0,0,,0
CAM00073,L00073,IT Consulting,20-01-2026 09:00,20-01-2026 09:12,Delivered,1,0,,0
CAM00074,L00074,Database Modernization,20-01-2026 14:00,20-01-2026 14:01,Delivered,0,0,,0
CAM00075,L00075,Oracle Services,20-01-2026 19:00,20-01-2026 19:03,Delivered,1,0,,0
CAM00076,L00076,Database Modernization,21-01-2026 00:00,21-01-2026 00:14,Delivered,0,0,,0
CAM00077,L00077,IT Consulting,21-01-2026 05:00,21-01-2026 05:11,Delivered,0,0,,0
CAM00078,L00078,Oracle Services,21-01-2026 10:00,21-01-2026 10:01,Delivered,1,0,,0
CAM00079,L00079,Oracle Services,21-01-2026 15:00,21-01-2026 15:02,Delivered,0,0,,0
CAM00080,L00080,IT Consulting,21-01-2026 20:00,21-01-2026 20:03,Delivered,0,0,,0
CAM00081,L00081,Data Engineering,22-01-2026 01:00,22-01-2026 01:01,Delivered,0,0,,0
CAM00082,L00082,Oracle Services,22-01-2026 06:00,22-01-2026 06:02,Delivered,1,0,,0
CAM00083,L00083,Oracle Services,22-01-2026 11:00,22-01-2026 11:08,Delivered,1,0,,0
CAM00084,L00084,Database Modernization,22-01-2026 16:00,22-01-2026 16:00,Delivered,0,0,,0
CAM00085,L00085,Data Engineering,22-01-2026 21:00,22-01-2026 21:04,Delivered,0,0,,0
CAM00086,L00086,IT Consulting,23-01-2026 02:00,23-01-2026 02:04,Delivered,0,0,,0
CAM00087,L00087,IT Consulting,23-01-2026 07:00,23-01-2026 07:14,Delivered,0,0,,0
CAM00088,L00088,Database Modernization,23-01-2026 12:00,23-01-2026 12:14,Delivered,0,0,,0
CAM00089,L00089,Database Modernization,23-01-2026 17:00,23-01-2026 17:12,Delivered,1,0,,0
CAM00090,L00090,IT Consulting,23-01-2026 22:00,23-01-2026 22:05,Delivered,0,0,,0
CAM00091,L00091,IT Consulting,24-01-2026 03:00,24-01-2026 03:07,Delivered,0,0,,0
CAM00092,L00092,Oracle Services,24-01-2026 08:00,24-01-2026 08:07,Delivered,1,0,,0
CAM00093,L00093,Data Engineering,24-01-2026 13:00,24-01-2026 13:12,Delivered,1,0,,0
CAM00094,L00094,Data Engineering,24-01-2026 18:00,24-01-2026 18:11,Delivered,0,0,,0
CAM00095,L00095,Oracle Services,24-01-2026 23:00,24-01-2026 23:13,Delivered,0,0,,0
CAM00096,L00096,IT Consulting,25-01-2026 04:00,25-01-2026 04:08,Delivered,0,0,,0
CAM00097,L00097,Database Modernization,25-01-2026 09:00,25-01-2026 09:13,Delivered,1,1,28-01-2026 10:13,0
CAM00098,L00098,Data Engineering,25-01-2026 14:00,25-01-2026 14:11,Delivered,0,0,,0
CAM00099,L00099,Database Modernization,25-01-2026 19:00,25-01-2026 19:11,Delivered,1,0,,0
CAM00100,L00100,Data Engineering,26-01-2026 00:00,26-01-2026 00:09,Bounced,0,0,,0
CAM00101,L00101,IT Consulting,26-01-2026 05:00,26-01-2026 05:05,Delivered,0,0,,0
CAM00102,L00102,Database Modernization,26-01-2026 10:00,26-01-2026 10:09,Delivered,0,0,,0
CAM00103,L00103,Database Modernization,26-01-2026 15:00,26-01-2026 15:05,Delivered,0,0,,0
CAM00104,L00104,IT Consulting,26-01-2026 20:00,26-01-2026 20:09,Delivered,0,0,,0
CAM00105,L00105,IT Consulting,27-01-2026 01:00,27-01-2026 01:03,Delivered,0,0,,0
CAM00106,L00106,IT Consulting,27-01-2026 06:00,27-01-2026 06:11,Delivered,1,0,,0
CAM00107,L00107,IT Consulting,27-01-2026 11:00,27-01-2026 11:08,Delivered,1,0,,0
CAM00108,L00108,Data Engineering,27-01-2026 16:00,27-01-2026 16:10,Delivered,0,0,,0
CAM00109,L00109,IT Consulting,27-01-2026 21:00,27-01-2026 21:03,Delivered,0,0,,0
CAM00110,L00110,IT Consulting,28-01-2026 02:00,28-01-2026 02:11,Delivered,1,0,,0
CAM00111,L00111,Oracle Services,28-01-2026 07:00,28-01-2026 07:12,Failed,0,0,,0
CAM00112,L00112,Data Engineering,28-01-2026 12:00,28-01-2026 12:02,Delivered,1,0,,0
CAM00113,L00113,Oracle Services,28-01-2026 17:00,28-01-2026 17:05,Delivered,1,1,29-01-2026 18:05,1
CAM00114,L00114,Data Engineering,28-01-2026 22:00,28-01-2026 22:10,Delivered,0,0,,0
CAM00115,L00115,Database Modernization,29-01-2026 03:00,29-01-2026 03:13,Delivered,1,0,,0
CAM00116,L00116,Database Modernization,29-01-2026 08:00,29-01-2026 08:11,Delivered,1,0,,0
CAM00117,L00117,IT Consulting,29-01-2026 13:00,29-01-2026 13:07,Delivered,0,0,,0
CAM00118,L00118,Data Engineering,29-01-2026 18:00,29-01-2026 18:04,Delivered,0,0,,0
CAM00119,L00119,Data Engineering,29-01-2026 23:00,29-01-2026 23:13,Delivered,1,0,,0
CAM00120,L00120,IT Consulting,30-01-2026 04:00,30-01-2026 04:13,Delivered,1,0,,0
CAM00121,L00121,Oracle Services,30-01-2026 09:00,30-01-2026 09:13,Delivered,1,0,,0
CAM00122,L00122,Data Engineering,30-01-2026 14:00,30-01-2026 14:04,Bounced,0,0,,0
CAM00123,L00123,Oracle Services,30-01-2026 19:00,30-01-2026 19:06,Delivered,1,0,,0
CAM00124,L00124,Oracle Services,31-01-2026 00:00,31-01-2026 00:03,Delivered,1,1,03-02-2026 16:03,0
CAM00125,L00125,Oracle Services,31-01-2026 05:00,31-01-2026 05:14,Delivered,1,0,,0
CAM00126,L00126,Data Engineering,31-01-2026 10:00,31-01-2026 10:13,Bounced,0,0,,0
CAM00127,L00127,Data Engineering,31-01-2026 15:00,31-01-2026 15:02,Delivered,1,0,,0
CAM00128,L00128,IT Consulting,31-01-2026 20:00,31-01-2026 20:03,Delivered,0,0,,0
CAM00129,L00129,Database Modernization,01-02-2026 01:00,01-02-2026 01:08,Delivered,1,1,01-02-2026 15:08,1
