campaign_id,lead_id,email_template,scheduled_time,sent_time,delivery_status,opened,replied,reply_time,follow_up_required
CAM00001,L00001,IT Consulting,2026-01-05 09:00:00,2026-01-05 09:13:00,Delivered,0,0,,0
CAM00002,L00002,Data Engineering,2026-01-05 14:00:00,2026-01-05 14:00:00,Delivered,0,0,,0
CAM00003,L00003,Oracle Services,2026-01-05 19:00:00,2026-01-05 19:12:00,Delivered,1,0,,0
CAM00004,L00004,IT Consulting,2026-01-06 00:00:00,2026-01-06 00:11:00,Delivered,1,0,,0
CAM00005,L00005,IT Consulting,2026-01-06 05:00:00,2026-01-06 05:11:00,Delivered,1,0,,0
CAM00006,L00006,Database Modernization,2026-01-06 10:00:00,2026-01-06 10:02:00,Delivered,1,1,2026-01-06 19:02:00,1
CAM00007,L00007,Database Modernization,2026-01-06 15:00:00,2026-01-06 15:13:00,Delivered,1,0,,0
CAM00008,L00008,Oracle Services,2026-01-06 20:00:00,2026-01-06 20:08:00,Delivered,0,0,,0
CAM00009,L00009,IT Consulting,2026-01-07 01:00:00,2026-01-07 01:06:00,Delivered,1,0,,0
CAM00010,L00010,IT Consulting,2026-01-07 06:00:00,2026-01-07 06:10:00,Delivered,1,0,,0
CAM00011,L00011,Oracle Services,2026-01-07 11:00:00,2026-01-07 11:05:00,Delivered,0,0,,0
CAM00012,L00012,Data Engineering,2026-01-07 16:00:00,2026-01-07 16:04:00,Delivered,0,0,,0
CAM00013,L00013,Database Modernization,2026-01-07 21:00:00,2026-01-07 21:04:00,Delivered,1,0,,0
CAM00014,L00014,Data Engineering,2026-01-08 02:00:00,2026-01-08 02:08:00,Delivered,1,0,,0
CAM00015,L00015,Oracle Services,2026-01-08 07:00:00,2026-01-08 07:09:00,Bounced,0,0,,0
CAM00016,L00016,IT Consulting,2026-01-08 12:00:00,2026-01-08 12:03:00,Delivered,1,0,,0
CAM00017,L00017,Database Modernization,2026-01-08 17:00:00,2026-01-08 17:03:00,Delivered,0,0,,0
CAM00018,L00018,IT Consulting,2026-01-08 22:00:00,2026-01-08 22:14:00,Delivered,0,0,,0
CAM00019,L00019,Oracle Services,2026-01-09 03:00:00,2026-01-09 03:07:00,Delivered,1,0,,0
CAM00020,L00020,Data Engineering,2026-01-09 08:00:00,2026-01-09 08:12:00,Delivered,0,0,,0
CAM00021,L00021,Database Modernization,2026-01-09 13:00:00,2026-01-09 13:04:00,Delivered,1,0,,0
CAM00022,L00022,IT Consulting,2026-01-09 18:00:00,2026-01-09 18:04:00,Failed,0,0,,0
CAM00023,L00023,Data Engineering,2026-01-09 23:00:00,2026-01-09 23:04:00,Delivered,1,0,,0
CAM00024,L00024,Data Engineering,2026-01-10 04:00:00,2026-01-10 04:07:00,Delivered,0,0,,0
CAM00025,L00025,Oracle Services,2026-01-10 09:00:00,2026-01-10 09:11:00,Delivered,1,0,,0
CAM00026,L00026,Data Engineering,2026-01-10 14:00:00,2026-01-10 14:07:00,Delivered,1,0,,0
CAM00027,L00027,Oracle Services,2026-01-10 19:00:00,2026-01-10 19:04:00,Delivered,0,0,,0
CAM00028,L00028,Database Modernization,2026-01-11 00:00:00,2026-01-11 00:14:00,Delivered,1,0,,0
CAM00029,L00029,Oracle Services,2026-01-11 05:00:00,2026-01-11 05:08:00,Delivered,0,0,,0
CAM00030,L00030,Oracle Services,2026-01-11 10:00:00,2026-01-11 10:05:00,Delivered,0,0,,0
CAM00031,L00031,Data Engineering,2026-01-11 15:00:00,2026-01-11 15:00:00,Delivered,0,0,,0
CAM00032,L00032,Oracle Services,2026-01-11 20:00:00,2026-01-11 20:08:00,Delivered,0,0,,0
CAM00033,L00033,Data Engineering,2026-01-12 01:00:00,2026-01-12 01:09:00,Delivered,0,0,,0
CAM00034,L00034,IT Consulting,2026-01-12 06:00:00,2026-01-12 06:13:00,Delivered,1,0,,0
CAM00035,L00035,Oracle Services,2026-01-12 11:00:00,2026-01-12 11:03:00,Delivered,0,0,,0
CAM00036,L00036,Data Engineering,2026-01-12 16:00:00,2026-01-12 16:02:00,Delivered,0,0,,0
CAM00037,L00037,Database Modernization,2026-01-12 21:00:00,2026-01-12 21:14:00,Delivered,0,0,,0
CAM00038,L00038,Database Modernization,2026-01-13 02:00:00,2026-01-13 02:08:00,Delivered,0,0,,0
CAM00039,L00039,Data Engineering,2026-01-13 07:00:00,2026-01-13 07:00:00,Delivered,0,0,,0
CAM00040,L00040,Data Engineering,2026-01-13 12:00:00,2026-01-13 12:01:00,Delivered,0,0,,0
CAM00041,L00041,Data Engineering,2026-01-13 17:00:00,2026-01-13 17:07:00,Delivered,1,0,,0
CAM00042,L00042,Oracle Services,2026-01-13 22:00:00,2026-01-13 22:09:00,Delivered,0,0,,0
