company_id,company_name,website,country,industry,company_size,employee_count,revenue_range
C00001,B Solutions 0001,https://example-company-0001.com,USA,Logistics,Small,6383,> $1B
C00002,C Industries 0002,https://example-company-0002.com,India,Telecom,Medium,16862,> $1B
C00003,D Systems 0003,https://example-company-0003.com,Singapore,Manufacturing,Small,753,$50M-$250M
C00004,E Group 0004,https://example-company-0004.com,Canada,Education,Medium,8955,> $1B
C00005,F Technologies 0005,https://example-company-0005.com,Canada,Insurance,Large,16029,> $1B
C00006,G Solutions 0006,https://example-company-0006.com,Netherlands,Education,Medium,19061,> $1B
C00007,H Industries 0007,https://example-company-0007.com,USA,Logistics,Enterprise,5065,> $1B
C00008,I Systems 0008,https://example-company-0008.com,Singapore,Manufacturing,Medium,13033,> $1B
C00009,J Group 0009,https://example-company-0009.com,UAE,Telecom,Large,3834,$250M-$1B
C00010,K Technologies 0010,https://example-company-0010.com,USA,Manufacturing,Medium,2362,$250M-$1B
C00011,L Solutions 0011,https://example-company-0011.com,Australia,Retail,Large,7092,> $1B
C00012,M Industries 0012,https://example-company-0012.com,Saudi Arabia,Logistics,Large,17707,> $1B
C00013,N Systems 0013,https://example-company-0013.com,India,Insurance,Medium,13805,> $1B
C00014,O Group 0014,https://example-company-0014.com,India,Retail,Enterprise,9810,> $1B
C00015,P Technologies 0015,https://example-company-0015.com,India,Manufacturing,Medium,5692,> $1B
C00016,Q Solutions 0016,https://example-company-0016.com,India,Logistics,Medium,2875,$250M-$1B
C00017,R Industries 0017,https://example-company-0017.com,Australia,Healthcare,Large,5451,> $1B
C00018,S Systems 0018,https://example-company-0018.com,UK,Healthcare,Large,3096,$250M-$1B
C00019,T Group 0019,https://example-company-0019.com,Netherlands,Banking,Small,3782,$250M-$1B
C00020,U Technologies 0020,https://example-company-0020.com,Canada,Banking,Medium,13766,> $1B
C00021,V Solutions 0021,https://example-company-0021.com,Australia,Banking,Enterprise,2697,$250M-$1B
C00022,W Industries 0022,https://example-company-0022.com,Germany,Banking,Large,995,$50M-$250M
C00023,X Systems 0023,https://example-company-0023.com,UK,Logistics,Enterprise,10869,> $1B
C00024,Y Group 0024,https://example-company-0024.com,Saudi Arabia,Logistics,Large,5767,> $1B
C00025,Z Technologies 0025,https://example-company-0025.com,India,Logistics,Large,9121,> $1B
C00026,A Solutions 0026,https://example-company-0026.com,Singapore,Banking,Medium,2838,$250M-$1B
C00027,B Industries 0027,https://example-company-0027.com,Canada,Banking,Enterprise,4239,$250M-$1B
C00028,C Systems 0028,https://example-company-0028.com,Netherlands,Retail,Medium,8849,> $1B
C00029,D Group 0029,https://example-company-0029.com,Australia,Manufacturing,Large,13815,> $1B
C00030,E Technologies 0030,https://example-company-0030.com,Canada,Retail,Medium,8316,> $1B
C00031,F Solutions 0031,https://example-company-0031.com,Canada,Healthcare,Large,10857,> $1B
C00032,G Industries 0032,https://example-company-0032.com,UAE,Insurance,Large,10461,> $1B
C00033,H Systems 0033,https://example-company-0033.com,USA,Telecom,Large,5413,> $1B
C00034,I Group 0034,https://example-company-0034.com,Australia,Retail,Enterprise,5628,> $1B
C00035,J Technologies 0035,https://example-company-0035.com,Netherlands,Banking,Medium,8543,> $1B
C00036,K Solutions 0036,https://example-company-0036.com,USA,Telecom,Large,689,$50M-$250M
C00037,L Industries 0037,https://example-company-0037.com,Netherlands,Education,Medium,13723,> $1B
C00038,M Systems 0038,https://example-company-0038.com,Netherlands,Banking,Medium,12307,> $1B
C00039,N Group 0039,https://example-company-0039.com,UAE,Healthcare,Medium,6157,> $1B
C00040,O Technologies 0040,https://example-company-0040.com,Singapore,Logistics,Small,7505,> $1B
C00041,P Solutions 0041,https://example-company-0041.com,UK,Telecom,Small,6607,> $1B
C00042,Q Industries 0042,https://example-company-0042.com,India,Logistics,Large,13044,> $1B
C00043,R Systems 0043,https://example-company-0043.com,India,Healthcare,Large,15206,> $1B
C00044,S Group 0044,https://example-company-0044.com,Germany,Retail,Large,2217,$250M-$1B
C00045,T Technologies 0045,https://example-company-0045.com,USA,Telecom,Small,8295,> $1B
C00046,U Solutions 0046,https://example-company-0046.com,Saudi Arabia,Insurance,Medium,324,$50M-$250M
C00047,V Industries 0047,https://example-company-0047.com,Canada,Insurance,Medium,9072,> $1B
C00048,W Systems 0048,https://example-company-0048.com,Netherlands,Manufacturing,Large,5003,> $1B
C00049,X Group 0049,https://example-company-0049.com,Singapore,Telecom,Enterprise,6749,> $1B
C00050,Y Technologies 0050,https://example-company-0050.com,India,Banking,Medium,9158,> $1B
C00051,Z Solutions 0051,https://example-company-0051.com,India,Manufacturing,Large,6508,> $1B
C00052,A Industries 0052,https://example-company-0052.com,UK,Retail,Small,7911,> $1B
C00053,B Systems 0053,https://example-company-0053.com,Germany,Manufacturing,Medium,15307,> $1B
C00054,C Group 0054,https://example-company-0054.com,Canada,Education,Small,16215,> $1B
C00055,D Technologies 0055,https://example-company-0055.com,Canada,Banking,Medium,166,< $50M
C00056,E Solutions 0056,https://example-company-0056.com,USA,Education,Large,7587,> $1B
C00057,F Industries 0057,https://example-company-0057.com,Australia,Healthcare,Enterprise,16945,> $1B
C00058,G Systems 0058,https://example-company-0058.com,UK,Logistics,Medium,10632,> $1B
