company_id,technology_id,technology_version,technology_evidence,confidence_score,source
C00001,T01,HANA 2.0,Public case study,0.61,Industry Directory
C00002,T04,8.x,Public case study,0.78,Company Website
C00003,T06,HANA 2.0,Technical page,0.84,Public Case Study
C00004,T05,2022,Technical page,0.78,Technology Directory
C00005,T01,8.x,Technology directory,0.65,Public Case Study
C00006,T01,11g,Technology directory,0.76,Company Website
C00007,T06,2022,Technical page,0.76,Technology Directory
C00008,T06,2022,Job posting,0.67,Public Case Study
C00009,T03,HANA 2.0,Technical page,0.89,Job Posting
C00010,T03,15,Public case study,0.73,Industry Directory
C00011,T02,11g,Public case study,0.83,Technology Directory
C00012,T02,2022,Job posting,0.8,Job Posting
C00013,T01,15,Job posting,0.94,Company Website
C00014,T01,2019,Technical page,0.65,Company Website
C00015,T01,8.x,Technology directory,0.64,Technology Directory
C00016,T05,16,Job posting,0.72,Technology Directory
C00017,T01,2022,Technical page,0.77,Industry Directory
C00018,T01,15,Job posting,0.72,Public Case Study
C00019,T03,2019,Job posting,0.9,Company Website
C00020,T01,19c,Public case study,0.7,Technology Directory
C00021,T01,2019,Technical page,0.63,Technology Directory
C00022,T03,HANA 2.0,Technical page,0.76,Company Website
C00023,T02,2022,Technology directory,0.9,Public Case Study
C00024,T03,15,Job posting,0.93,Technology Directory
C00025,T05,12c,Job posting,0.89,Company Website
C00026,T01,HANA 2.0,Technology directory,0.82,Technology Directory
C00027,T05,19c,Public case study,0.88,Public Case Study
C00028,T05,HANA 2.0,Job posting,0.87,Job Posting
C00029,T05,2019,Technical page,0.69,Job Posting
C00030,T03,HANA 2.0,Public case study,0.81,Company Website
C00031,T03,HANA 2.0,Technical page,0.9,Job Posting
C00032,T03,15,Public case study,0.72,Industry Directory
C00033,T04,HANA 2.0,Public case study,0.86,Public Case Study
C00034,T01,2022,Technical page,0.79,Company Website
C00035,T06,16,Technology directory,0.8,Technology Directory
C00036,T03,12c,Technical page,0.64,Company Website
C00037,T04,11g,Technology directory,0.86,Technology Directory
C00038,T02,2019,Job posting,0.94,Company Website
C00039,T01,16,Technical page,0.66,Public Case Study
C00040,T03,15,Public case study,0.74,Technology Directory
C00041,T03,2019,Technology directory,0.62,Public Case Study
C00042,T02,2019,Job posting,0.61,Technology Directory
C00043,T02,2022,Technology directory,0.99,Job Posting
C00044,T01,16,Job posting,0.79,Job Posting
C00045,T03,16,Technical page,0.74,Job Posting
C00046,T02,11g,Technical page,0.71,Technology Directory
C00047,T06,2022,Technical page,0.98,Technology Directory
C00048,T01,8.x,Technology directory,0.7,Public Case Study
C00049,T02,16,Public case study,0.88,Company Website
C00050,T01,2019,Technology directory,0.71,Job Posting
C00051,T03,HANA 2.0,Technical page,0.63,Industry Directory
C00052,T03,8.x,Technology directory,0.87,Industry Directory
C00053,T03,15,Technical page,0.6,Industry Directory
C00054,T06,11g,Public case study,0.86,Job Posting
C00055,T01,HANA 2.0,Public case study,0.7,Company Website
C00056,T04,12c,Public case study,0.89,Company Website
C00057,T01,8.x,Public case study,0.9,Company Website
C00058,T01,16,Technical page,0.88,Industry Directory
C00059,T02,HANA 2.0,Public case study,0.61,Industry Directory
C00060,T01,2019,Technology directory,0.87,Industry Directory
C00061,T03,2019,Technical page,0.99,Public Case Study
C00062,T04,11g,Public case study,0.69,Job Posting
C00063,T04,HANA 2.0,Job posting,0.71,Technology Directory
C00064,T03,11g,Technical page,0.92,Industry Directory
C00065,T03,11g,Technology directory,0.66,Industry Directory
C00066,T02,2019,Public case study,0.86,Technology Directory
C00067,T01,11g,Job posting,0.89,Industry Directory
C00068,T01,12c,Public case study,0.61,Job Posting
C00069,T03,2022,Technology directory,0.82,Technology Directory
C00070,T06,15,Job posting,0.82,Industry Directory
C00071,T01,19c,Job posting,0.72,Job Posting
C00072,T03,16,Technical page,0.94,Public Case Study
C00073,T04,2022,Public case study,0.66,Technology Directory
C00074,T05,19c,Technical page,0.74,Job Posting
C00075,T03,15,Technology directory,0.93,Job Posting
C00076,T03,2022,Technology directory,0.67,Public Case Study
C00077,T04,16,Public case study,0.92,Technology Directory
C00078,T05,12c,Technical page,0.63,Job Posting
C00079,T01,19c,Job posting,0.79,Public Case Study
C00080,T06,19c,Technology directory,0.63,Company Website
C00081,T01,8.x,Technology directory,0.86,Company Website
C00082,T05,16,Technical page,0.91,Industry Directory
C00083,T01,15,Public case study,0.93,Public Case Study
C00084,T01,2019,Technology directory,0.98,Technology Directory
C00085,T01,2019,Public case study,0.86,Company Website
C00086,T02,16,Job posting,0.9,Technology Directory
C00087,T02,2019,Public case study,0.8,Technology Directory
C00088,T01,19c,Technology directory,0.96,Technology Directory
C00089,T02,12c,Technology directory,0.85,Company Website
C00090,T02,19c,Technical page,0.94,Technology Directory
C00091,T04,2022,Public case study,0.69,Technology Directory
C00092,T05,2019,Technical page,0.79,Job Posting
C00093,T03,8.x,Public case study,0.88,Company Website
C00094,T01,2019,Job posting,0.68,Industry Directory
C00095,T01,HANA 2.0,Technical page,0.68,Public Case Study
C00096,T05,HANA 2.0,Technical page,0.98,Public Case Study
C00097,T01,12c,Technical page,0.77,Public Case Study
C00098,T02,12c,Technical page,0.67,Public Case Study
C00099,T06,19c,Job posting,0.73,Company Website
C00100,T06,16,Public case study,0.75,Technology Directory
C00101,T02,2019,Technical page,0.84,Industry Directory
C00102,T04,16,Technology directory,0.96,Job Posting
C00103,T02,2022,Job posting,0.98,Industry Directory
C00104,T04,2019,Public case study,0.85,Company Website
C00105,T01,19c,Job posting,0.87,Job Posting
C00106,T01,8.x,Public case study,0.73,Job Posting
C00107,T03,12c,Technical page,0.93,Public Case Study
C00108,T01,2019,Technical page,0.68,Company Website
C00109,T04,19c,Public case study,0.64,Job Posting
C00110,T02,19c,Technology directory,0.98,Public Case Study
C00111,T05,11g,Technical page,0.94,Job Posting
C00112,T05,16,Technology directory,0.72,Industry Directory
C00113,T03,HANA 2.0,Job posting,0.86,Industry Directory
C00114,T04,2019,Technical page,0.78,Job Posting
C00115,T01,2019,Technical page,0.73,Technology Directory
C00116,T03,HANA 2.0,Technology directory,0.71,Job Posting
C00117,T01,2019,Job posting,0.65,Job Posting
C00118,T05,2022,Technical page,0.81,Public Case Study
C00119,T05,8.x,Technical page,0.77,Job Posting
C00120,T05,2019,Technology directory,0.8,Company Website
C00121,T05,2019,Technical page,0.68,Job Posting
C00122,T06,15,Technology directory,0.97,Industry Directory
C00123,T01,2022,Public case study,0.85,Job Posting
C00124,T06,2019,Public case study,0.95,Job Posting
C00125,T03,11g,Technology directory,0.64,Public Case Study
C00126,T02,HANA 2.0,Job posting,0.84,Company Website
C00127,T03,16,Technical page,0.93,Job Posting
C00128,T02,12c,Public case study,0.73,Company Website
C00129,T01,19c,Job posting,0.68,Industry Directory
C00130,T01,HANA 2.0,Job posting,0.7,Industry Directory
C00131,T01,19c,Job posting,0.71,Public Case Study
C00132,T03,16,Technology directory,0.77,Job Posting
C00133,T05,16,Public case study,0.73,Public Case Study
C00134,T03,16,Technical page,0.71,Public Case Study
C00135,T03,11g,Public case study,0.85,Industry Directory
C00136,T02,2019,Public case study,0.62,Company Website
C00137,T02,2022,Technology directory,0.73,Public Case Study
C00138,T01,16,Technology directory,0.87,Company Website
C00139,T05,19c,Technology directory,0.67,Technology Directory
C00140,T01,19c,Job posting,0.69,Industry Directory
C00141,T04,12c,Technology directory,0.68,Company Website
C00142,T04,15,Technical page,0.6,Company Website
C00143,T03,HANA 2.0,Technical page,0.78,Industry Directory
C00144,T05,12c,Public case study,0.62,Company Website
C00145,T01,19c,Public case study,0.71,Public Case Study
C00146,T05,19c,Technical page,0.99,Technology Directory
C00147,T04,HANA 2.0,Technology directory,0.96,Job Posting
C00148,T04,2019,Job posting,0.68,Industry Directory
C00149,T04,19c,Job posting,0.72,Industry Directory
C00150,T05,19c,Job posting,0.78,Job Posting
C00151,T06,2022,Technology directory,0.93,Company Website
C00152,T02,8.x,Technical page,0.91,Company Website
C00153,T05,12c,Technical page,0.65,Company Website
C00154,T04,16,Public case study,0.65,Industry Directory
C00155,T02,8.x,Technical page,0.76,Technology Directory
C00156,T06,19c,Public case study,0.94,Public Case Study
C00157,T02,15,Job posting,0.94,Job Posting
C00158,T03,15,Job posting,0.64,Industry Directory
C00159,T01,12c,Technology directory,0.82,Public Case Study
C00160,T01,11g,Technical page,0.66,Public Case Study
C00161,T05,11g,Job posting,0.87,Technology Directory
C00162,T02,15,Technical page,0.96,Public Case Study
C00163,T02,2022,Technical page,0.78,Technology Directory
C00164,T01,16,Technical page,0.63,Job Posting
C00165,T03,2022,Technical page,0.83,Technology Directory
C00166,T05,8.x,Public case study,0.76,Job Posting
C00167,T05,2022,Job posting,0.92,Industry Directory
C00168,T01,15,Technical page,0.73,Public Case Study
C00169,T03,8.x,Technical page,0.94,Public Case Study
C00170,T02,HANA 2.0,Public case study,0.71,Public Case Study
C00171,T03,HANA 2.0,Technology directory,0.66,Technology Directory
C00172,T02,16,Technology directory,0.72,Industry Directory
C00173,T02,HANA 2.0,Technical page,0.61,Job Posting
C00174,T02,8.x,Public case study,0.71,Technology Directory
C00175,T03,12c,Job posting,0.86,Company Website
C00176,T03,2019,Public case study,0.66,Job Posting
C00177,T02,15,Job posting,0.64,Technology Directory
C00178,T05,16,Job posting,0.65,Technology Directory
C00179,T04,8.x,Public case study,0.63,Industry Directory
C00180,T02,19c,Job posting,0.94,Public Case Study
C00181,T05,2019,Technical page,0.97,Technology Directory
C00182,T05,16,Job posting,0.62,Technology Directory
C00183,T01,11g,Public case study,0.9,Public Case Study
C00184,T03,19c,Technology directory,0.89,Public Case Study
C00185,T01,19c,Public case study,0.99,Job Posting
C00186,T04,16,Technology directory,0.74,Technology Directory
C00187,T01,2019,Technical page,0.71,Technology Directory
C00188,T04,11g,Job posting,0.78,Company Website
C00189,T01,19c,Job posting,0.93,Industry Directory
C00190,T03,11g,Job posting,0.88,Technology Directory
C00191,T06,2019,Job posting,0.78,Job Posting
C00192,T02,HANA 2.0,Technical page,0.7,Public Case Study
C00193,T05,2022,Job posting,0.88,Public Case Study
C00194,T06,16,Public case study,0.93,Industry Directory
C00195,T05,15,Job posting,0.76,Company Website
C00196,T01,16,Public case study,0.86,Technology Directory
C00197,T05,19c,Technical page,0.76,Company Website
C00198,T01,HANA 2.0,Public case study,0.79,Technology Directory
C00199,T02,19c,Public case study,0.8,Technology Directory
C00200,T05,8.x,Technology directory,0.9,Technology Directory
C00201,T04,15,Technical page,0.98,Industry Directory
C00202,T03,19c,Technical page,0.77,Technology Directory
C00203,T02,19c,Public case study,0.73,Technology Directory
C00204,T05,12c,Public case study,0.75,Company Website
C00205,T04,11g,Technical page,0.65,Job Posting
C00206,T02,2019,Public case study,0.72,Industry Directory
C00207,T05,HANA 2.0,Technical page,0.63,Technology Directory
C00208,T01,12c,Technical page,0.77,Industry Directory
C00209,T01,8.x,Technical page,0.67,Technology Directory
C00210,T03,HANA 2.0,Technology directory,0.74,Technology Directory
C00211,T06,15,Public case study,0.91,Technology Directory
C00212,T01,11g,Job posting,0.7,Technology Directory
C00213,T01,2019,Technology directory,0.84,Company Website
C00214,T01,12c,Public case study,0.95,Company Website
C00215,T05,19c,Job posting,0.82,Technology Directory
C00216,T01,19c,Public case study,0.68,Technology Directory
C00217,T03,2022,Public case study,0.73,Technology Directory
C00218,T06,12c,Technology directory,0.83,Technology Directory
C00219,T01,19c,Technical page,0.8,Job Posting
C00220,T03,19c,Public case study,0.66,Public Case Study
C00221,T03,8.x,Technical page,0.77,Public Case Study
C00222,T05,2022,Technical page,0.81,Company Website
C00223,T02,8.x,Public case study,0.7,Technology Directory
C00224,T02,19c,Technology directory,0.84,Public Case Study
C00225,T01,2019,Technology directory,0.63,Public Case Study
C00226,T04,2022,Technology directory,0.73,Job Posting
C00227,T04,11g,Public case study,0.91,Industry Directory
C00228,T01,HANA 2.0,Public case study,0.7,Public Case Study
C00229,T02,HANA 2.0,Technical page,0.84,Technology Directory
C00230,T05,2022,Technology directory,0.76,Public Case Study
