Temperature_C,Storage_Modulus_MPa,Tan_Delta
25,1279.986944,0.12
25.70281124,1279.985565,0.12
26.40562249,1279.984041,0.12
27.10843373,1279.982355,0.12
27.81124498,1279.980491,0.12
28.51405622,1279.978431,0.12
29.21686747,1279.976153,0.12
29.91967871,1279.973635,0.12
30.62248996,1279.97085,0.12
31.3253012,1279.967772,0.12
32.02811245,1279.964368,0.12
32.73092369,1279.960605,0.12
33.43373494,1279.956444,0.12
34.13654618,1279.951844,0.12
34.83935743,1279.946758,0.12
35.54216867,1279.941136,0.12
36.24497992,1279.934919,0.12
36.94779116,1279.928046,0.12
37.65060241,1279.920447,0.12
38.35341365,1279.912046,0.12
39.0562249,1279.902757,0.12
39.75903614,1279.892488,0.12
40.46184739,1279.881134,0.12
41.16465863,1279.868581,0.12
41.86746988,1279.854703,0.120000001
42.57028112,1279.83936,0.120000001
43.27309237,1279.822396,0.120000002
43.97590361,1279.803642,0.120000003
44.67871486,1279.782907,0.120000004
45.3815261,1279.759984,0.120000006
46.08433735,1279.73464,0.120000009
46.78714859,1279.706621,0.120000014
47.48995984,1279.675644,0.120000021
48.19277108,1279.641397,0.120000032
48.89558233,1279.603536,0.120000048
49.59839357,1279.561679,0.120000071
50.30120482,1279.515404,0.120000106
51.00401606,1279.464247,0.120000156
51.70682731,1279.407691,0.120000229
52.40963855,1279.345169,0.120000335
53.1124498,1279.276051,0.120000487
53.81526104,1279.199642,0.120000705
54.51807229,1279.115174,0.120001015
55.22088353,1279.0218,0.120001454
55.92369478,1278.918581,0.120002073
56.62650602,1278.80448,0.12000294
57.32931727,1278.678355,0.120004148
58.03212851,1278.538939,0.120005824
58.73493976,1278.384837,0.120008136
59.437751,1278.214506,0.120011309
60.14056225,1278.026242,0.12001564
60.84337349,1277.818162,0.12002152
61.54618474,1277.588191,0.120029464
62.24899598,1277.334034,0.120040136
62.95180723,1277.05316,0.120054399
63.65461847,1276.742775,0.120073359
64.35742972,1276.399795,0.120098431
65.06024096,1276.020821,0.120131408
65.76305221,1275.602101,0.120174551
66.46586345,1275.139499,0.120230693
67.1686747,1274.628456,0.120303358
67.87148594,1274.063947,0.120396908
68.57429719,1273.440439,0.120516695
69.27710843,1272.751836,0.120669252
69.97991968,1271.991431,0.120862495
70.68273092,1271.151844,0.121105947
71.38554217,1270.22496,0.121410987
72.08835341,1269.20186,0.121791113
72.79116466,1268.072752,0.122262214
73.4939759,1266.826886,0.122842861
74.19678715,1265.452476,0.123554583
74.89959839,1263.936608,0.124422142
75.60240964,1262.265148,0.125473786
76.30522088,1260.422643,0.126741459
77.00803213,1258.392214,0.128260971
77.71084337,1256.155458,0.130072084
78.41365462,1253.692329,0.132218521
79.11646586,1250.981039,0.134747859
79.81927711,1247.99794,0.137711297
80.52208835,1244.717423,0.141163271
81.2248996,1241.111819,0.145160907
81.92771084,1237.151305,0.149763283
82.63052209,1232.803834,0.155030507
83.33333333,1228.035072,0.161022589
84.03614458,1222.808373,0.167798114
84.73895582,1217.084776,0.175412725
85.44176707,1210.823049,0.18391743
86.14457831,1203.979779,0.193356762
86.84738956,1196.509526,0.203766825
87.5502008,1188.365044,0.215173273
88.25301205,1179.497584,0.227589281
88.95582329,1169.857299,0.241013566
89.65863454,1159.393742,0.255428529
90.36144578,1148.05649,0.270798602
91.06425703,1135.795889,0.287068865
91.76706827,1122.563932,0.304164017
