Temperature_C,Heat_Flow_W_g
25,0.017430064
25.75250836,0.016781169
26.50501672,0.016066306
27.25752508,0.015288284
28.01003344,0.014450161
28.76254181,0.013555233
29.51505017,0.012607018
30.26755853,0.011609243
31.02006689,0.01056583
31.77257525,0.009480881
32.52508361,0.008358662
33.27759197,0.007203584
34.03010033,0.006020188
34.7826087,0.004813125
35.53511706,0.003587142
36.28762542,0.002347057
37.04013378,0.001097745
37.79264214,-0.000155882
38.5451505,-0.001408897
39.29765886,-0.002656372
40.05016722,-0.003893405
40.80267559,-0.005115133
41.55518395,-0.006316753
42.30769231,-0.00749354
43.06020067,-0.008640869
43.81270903,-0.00975423
44.56521739,-0.010829246
45.31772575,-0.01186169
46.07023411,-0.012847505
46.82274247,-0.013782814
47.57525084,-0.014663942
48.3277592,-0.015487423
49.08026756,-0.016250021
49.83277592,-0.016948738
50.58528428,-0.017580828
51.33779264,-0.018143804
52.090301,-0.018635456
52.84280936,-0.019053848
53.59531773,-0.019397338
54.34782609,-0.019664573
55.10033445,-0.019854505
55.85284281,-0.019966386
56.60535117,-0.019999777
57.35785953,-0.019954546
58.11036789,-0.01983087
58.86287625,-0.019629237
59.61538462,-0.019350439
60.36789298,-0.018995572
61.12040134,-0.01856603
61.8729097,-0.018063503
62.62541806,-0.017489966
63.37792642,-0.016847673
64.13043478,-0.01613915
64.88294314,-0.015367182
65.63545151,-0.014534804
66.38795987,-0.013645287
67.14046823,-0.012702128
67.89297659,-0.011709036
68.64548495,-0.010669914
69.39799331,-0.009588848
70.15050167,-0.008470086
70.90301003,-0.007318027
71.65551839,-0.0061372
72.40802676,-0.004932247
73.16053512,-0.003707905
73.91304348,-0.002468986
74.66555184,-0.001220361
75.4180602,3.31E-05
76.17056856,0.001286353
76.92307692,0.002534588
77.67558528,0.00377286
78.42809365,0.004996299
79.18060201,0.006200098
79.93311037,0.007379523
80.68561873,0.008529939
81.43812709,0.009646822
82.19063545,0.010725782
82.94314381,0.011762578
83.69565217,0.012753133
84.44816054,0.013693554
85.2006689,0.014580144
85.95317726,0.015409417
86.70568562,0.016178114
87.45819398,0.016883213
88.21070234,0.017521941
88.9632107,0.018091788
89.71571906,0.018590515
90.46822742,0.019016159
91.22073579,0.019367048
91.97324415,0.019641803
92.72575251,0.019839343
93.47826087,0.019958892
94.23076923,0.01999998
94.98327759,0.019962445
95.73578595,0.019846436
96.48829431,0.019652407
97.24080268,0.019381122
97.99331104,0.019033647
98.7458194,0.018611349
99.49832776,0.018115887
100.2508361,0.017549208
101.0033445,0.016913542
101.7558528,0.016211386
102.5083612,0.015445501
103.2608696,0.014618898
104.0133779,0.013734825
104.7658863,0.01279676
105.5183946,0.011808388
106.270903,0.010773597
107.0234114,0.009696452
107.7759197,0.00858119
108.5284281,0.007432194
109.2809365,0.006253981
110.0334448,0.005051183
110.7859532,0.003828528
111.5384615,0.002590822
112.2909699,0.001342932
113.0434783,8.98E-05
113.7959866,-0.001163761
114.548495,-0.002412708
115.3010033,-0.003652171
116.0535117,-0.004877277
116.8060201,-0.00608321
117.5585284,-0.007265229
118.3110368,-0.008418687
119.0635452,-0.00953905
119.8160535,-0.010621913
120.5685619,-0.011663021
121.3210702,-0.01265828
122.0735786,-0.013603777
122.826087,-0.014495795
123.5785953,-0.015330828
124.3311037,-0.016105592
125.083612,-0.016817041
125.8361204,-0.017462376
126.5886288,-0.018039059
127.3411371,-0.018544817
128.0936455,-0.018977655
128.8461538,-0.01933586
129.5986622,-0.019618003
130.3511706,-0.019822943
131.1036789,-0.019949826
131.8561873,-0.019998073
132.6086957,-0.019967371
133.361204,-0.019857657
134.1137124,-0.01966908
134.8662207,-0.019401964
135.6187291,-0.019056749
136.3712375,-0.018633907
137.1237458,-0.018133839
137.8762542,-0.017556739
138.6287625,-0.01690242
139.3812709,-0.0161701
140.1337793,-0.015358147
140.8862876,-0.014463773
141.638796,-0.013482696
142.3913043,-0.012408761
143.1438127,-0.011233549
143.8963211,-0.009945993
144.6488294,-0.008532029
145.4013378,-0.006974331
146.1538462,-0.005252185
146.9063545,-0.003341544
147.6588629,-0.001215341
148.4113712,0.001155892
149.1638796,0.003803041
149.916388,0.006757039
150.6688963,0.010047095
151.4214047,0.013698551
152.173913,0.017730429
152.9264214,0.022152786
153.6789298,0.026964022
154.4314381,0.03214834
155.1839465,0.03767357
155.9364548,0.043489593
156.6889632,0.049527589
157.4414716,0.055700292
158.1939799,0.061903405
158.9464883,0.068018211
159.6989967,0.07391537
160.451505,0.079459755
161.2040134,0.084516095
161.9565217,0.088955104
162.7090301,0.092659706
163.4615385,0.095530929
164.2140468,0.097493057
164.9665552,0.098497636
165.7190635,0.098526056
166.4715719,0.097590483
167.2240803,0.095733092
167.9765886,0.093023642
168.729097,0.089555596
169.4816054,0.085441073
170.2341137,0.080805018
170.9866221,0.075778999
171.7391304,0.070495074
